image_id,ground_truth,prediction,density_sum,confidence_score,local_variance,correlation_score,high_density_peaks,medium_density_peaks,low_density_peaks,total_unique_peaks,error,squared_error
288.jpg,88,17.667400360107422,17.667400360107422,0.84463096,2.3867411e-05,0.6892857142857143,37,41,56,56,70.33259963989258,4946.674572105418
455.jpg,15,16.955106735229492,16.955106735229492,0.6786707,5.5098357e-05,0.357396449704142,54,70,169,169,1.9551067352294922,3.8224423461397237
438.jpg,50,14.874923706054688,14.874923706054688,0.59458727,1.4656533e-05,0.1891891891891892,12,17,74,74,35.12507629394531,1233.770984655479
036.jpg,6,7.5574564933776855,7.5574564933776855,0.7498854,0.00022926295,0.5,3,3,6,6,1.5574564933776855,2.4256707287643167
206.jpg,10,8.791788101196289,8.791788101196289,0.7444272,3.446238e-05,0.48888888888888893,4,5,9,9,1.208211898803711,1.4597759924108686
244.jpg,5,4.4706621170043945,4.4706621170043945,0.6666507,3.19561e-05,0.33333333333333337,1,1,3,3,0.5293378829956055,0.2801985943742693
021.jpg,3,2.320197343826294,2.320197343826294,0.8332494,0.00016791766,0.6666666666666667,2,2,3,3,0.679802656173706,0.462131651340826
082.jpg,5,2.963730573654175,2.963730573654175,0.8749584,8.318409e-05,0.75,3,3,4,4,2.036269426345825,4.146393176670756
093.jpg,5,3.791588306427002,3.791588306427002,0.9998658,0.00026849995,1.0,3,3,3,3,1.208411693572998,1.4602588211639613
097.jpg,5,3.458120584487915,3.458120584487915,0.79989827,0.00020353222,0.6,3,3,5,5,1.541879415512085,2.3773921319798887
271.jpg,20,10.919720649719238,10.919720649719238,0.59544224,2.4631969e-05,0.19090909090909092,8,9,44,44,9.080279350280762,82.45147307913521
261.jpg,24,12.077394485473633,12.077394485473633,0.580639,1.2278692e-05,0.16129032258064513,5,5,31,31,11.922605514526367,142.14852225501454
496.jpg,13,14.023103713989258,14.023103713989258,0.5438039,1.1264082e-05,0.0876190476190476,8,11,105,105,1.0231037139892578,1.046741209578613
179.jpg,2,2.3666000366210938,2.3666000366210938,0.9998794,0.00024115606,1.0,2,2,2,2,0.36660003662109375,0.13439558685058728
269.jpg,10,7.052504539489746,7.052504539489746,0.671404,4.9113638e-05,0.34285714285714286,4,6,14,14,2.947495460510254,8.687729489728554
065.jpg,5,8.184000015258789,8.184000015258789,0.7999284,0.00014310503,0.6,3,3,5,5,3.184000015258789,10.137856097167969
031.jpg,8,9.126521110534668,9.126521110534668,0.7332569,0.00015296855,0.4666666666666667,7,7,15,15,1.126521110534668,1.2690498124802616
207.jpg,10,8.57560920715332,8.57560920715332,0.613325,1.6663636e-05,0.22666666666666668,3,4,15,15,1.4243907928466797,2.0288891307463928
002.jpg,4,4.1998701095581055,4.1998701095581055,0.8748722,0.0002555852,0.75,3,3,4,4,0.19987010955810547,0.03994806069476908
334.jpg,8,7.948554039001465,7.948554039001465,0.5535222,9.840765e-05,0.10714285714285712,3,3,28,28,0.051445960998535156,0.0026466869030628004
515.jpg,3,5.158010005950928,5.158010005950928,0.5525445,0.00017421786,0.10526315789473684,2,2,19,19,2.1580100059509277,4.657007185784323
005.jpg,5,6.236260414123535,6.236260414123535,0.7775845,0.0003865971,0.5555555555555556,5,5,9,9,1.2362604141235352,1.5283398115288946
472.jpg,38,10.923910140991211,10.923910140991211,0.5596618,3.1185322e-05,0.11935483870967742,7,8,62,62,27.07608985900879,733.1146420531186
088.jpg,5,1.4553459882736206,1.4553459882736206,0.7498767,0.00024666463,0.5,1,1,2,2,3.5446540117263794,12.564572062847915
495.jpg,29,13.987058639526367,13.987058639526367,0.68801904,4.892818e-05,0.3760869565217391,29,43,92,92,15.012941360473633,225.3884082930199
578.jpg,8,2.1181092262268066,2.1181092262268066,0.9998901,0.00021986094,1.0,2,2,2,2,5.881890773773193,34.596639074598215
124.jpg,5,2.806682586669922,2.806682586669922,0.6360834,0.0005603855,0.2727272727272727,3,3,11,11,2.193317413330078,4.810641275616945
131.jpg,10,8.29039192199707,8.29039192199707,0.6411507,5.1563482e-05,0.2823529411764706,4,6,17,17,1.7096080780029297,2.9227597803728713
