image_id,ground_truth,prediction,density_sum,confidence_score,local_variance,correlation_score,high_density_peaks,medium_density_peaks,low_density_peaks,total_unique_peaks,error,squared_error
503.jpg,23,11.534085273742676,11.534085273742676,0.536752,2.5408353e-05,0.07352941176470587,5,5,68,68,11.465914726257324,131.46720050980457
297.jpg,10,9.755977630615234,9.755977630615234,0.6874869,2.6287535e-05,0.375,3,3,8,8,0.24402236938476562,0.059546916760155
042.jpg,6,9.560147285461426,9.560147285461426,0.59992313,0.00015370964,0.2,2,3,12,12,3.560147285461426,12.674648694178359
124.jpg,5,2.806682586669922,2.806682586669922,0.6360834,0.0005603855,0.2727272727272727,3,3,11,11,2.193317413330078,4.810641275616945
090.jpg,5,2.976451873779297,2.976451873779297,0.8332926,8.145106e-05,0.6666666666666667,2,2,3,3,2.023548126220703,4.094747019131319
176.jpg,3,13.391883850097656,13.391883850097656,0.5404023,4.6494042e-05,0.08085106382978724,3,5,47,47,10.391883850097656,107.99124995392049
145.jpg,4,8.788796424865723,8.788796424865723,0.52356124,0.0004965735,0.04761904761904764,1,1,21,21,4.788796424865723,22.932571198806727
201.jpg,5,2.832728385925293,2.832728385925293,0.83326066,0.00014537034,0.6666666666666667,2,2,3,3,2.167271614074707,4.697066249173986
521.jpg,4,11.272085189819336,11.272085189819336,0.53635865,9.96876e-06,0.07272727272727274,4,4,55,55,7.272085189819336,52.88322300798973
010.jpg,4,1.4140630960464478,1.4140630960464478,0.899877,0.00024596145,0.8,2,3,3,3,2.5859369039535522,6.687069671228883
281.jpg,10,13.932391166687012,13.932391166687012,0.5903155,1.4136041e-05,0.18064516129032257,4,8,31,31,3.9323911666870117,15.463700287838037
166.jpg,6,4.648097038269043,4.648097038269043,0.57772124,0.00011308302,0.15555555555555556,1,2,9,9,1.351902961730957,1.8276416179369335
548.jpg,1,10.873002052307129,10.873002052307129,0.54544973,9.591063e-06,0.09090909090909091,1,1,11,11,9.873002052307129,97.47616952486078
277.jpg,6,10.452826499938965,10.452826499938965,0.72719073,0.00016404687,0.4545454545454546,5,5,11,11,4.452826499938965,19.827663838558692
311.jpg,12,14.581992149353027,14.581992149353027,0.54347485,6.7710102e-06,0.08695652173913046,2,2,23,23,2.5819921493530273,6.666683459320666
293.jpg,18,7.698023796081543,7.698023796081543,0.5356597,0.000109275104,0.07142857142857141,2,2,28,28,10.301976203918457,106.13071370610214
179.jpg,2,2.3666000366210938,2.3666000366210938,0.9998794,0.00024115606,1.0,2,2,2,2,0.36660003662109375,0.13439558685058728
